school,name,period,sport_code,coachid,sport
California Polytechnic State University,"Aagaard, Sofie",Aug 2015 -,WGO,41257,Women's Golf
University at Albany,"Aarnio, Johan",Aug 2000 - Dec 2010,MSO,166,Men's Soccer
U.S. Military Academy,"Abbey-Nowatzki, Sherri",Jun 1999 - Oct 2005,WBB,1533,Women's Basketball
"University of Nevada, Las Vegas","Abdalla, Dan",Aug 2003 - Aug 2004,WSO,22134,Women's Soccer
Texas Christian University,"Abdalla, Dan",Apr 2005 - Jan 2012,WSO,22135,Women's Soccer
Saint Peter's University,"Abdelaal, Mohamed",Aug 2010 - Sep 2014,WSW,24720,Women's Swimming and Diving
Saint Peter's University,"Abdelaal, Mohamed",Aug 2010 - Sep 2014,MSW,25421,Men's Swimming and Diving
Bucknell University,"Abdou, John",Aug 2007 - Aug 2010,WWP,8237,Women's Water Polo
Bucknell University,"Abdou, John",Aug 2007 - Aug 2010,MWP,3307,Men's Water Polo
Arkansas State University,"Abel, Neil",Aug 1980 - Jun 2006,MGO,2709,Men's Golf
University of Miami (Florida),"Ableman, Randy",Aug 1989 -,MSW,25930,Men's Swimming and Diving
Saint Peter's University,"Abrahamson, Guy",Sep 2006 - Apr 2011,MSO,2231,Men's Soccer
Missouri State University,"Abrahamson-Henderson, Katie",Jun 2002 - Apr 2007,WBB,6811,Women's Basketball
University of Central Florida,"Abrahamson-Henderson, Katie",May 2016 -,WBB,44588,Women's Basketball
University at Albany,"Abrahamson-Henderson, Katie",Jun 2010 - Apr 2016,WBB,24409,Women's Basketball
U.S. Air Force Academy,"Acee, Fred",Sep 1997 - Aug 2009,MLA,2670,Men's Lacrosse
Tennessee Technological University,"Acheson, Tory",Aug 2003 - Feb 2013,WSB,2475,Softball
Kennesaw State University,"Acheson, Tory",Jan 2015 - Aug 2016,WSB,39949,Softball
Brown University,"Achilles, Grant",Aug 2014 -,MBA,37409,Baseball
Loyola University Chicago,"Achter, Kate",Aug 2016 -,WBB,44527,Women's Basketball
Longwood University,"Ackerman, Melissa",Aug 2009 - Sep 2011,WLA,22957,Women's Lacrosse
St. Francis College Brooklyn,"Acoba, Micah",Aug 2010 - Jul 2014,WVB,26840,Women's Volleyball
"University of California, Berkeley","Acosta, Al",Sep 2014 -,WCR,38071,Women's Rowing
Adelphi University,"Acquista, Carlo",Sep 2007 - Apr 2018,MSO,6043,Men's Soccer
St. Francis College Brooklyn,"Acquista, Carlos",Aug 2003 - Aug 2007,MSO,511,Men's Soccer
